id;gene;pval;adjPVal
202207_at;ARL4C;0.16064051772731;0.259743016641996
208390_s_at;GLP1R;0.496388533392554;0.620088873348692
210565_at;GCGR;0.197478381252224;0.30688312273652
221312_at;GLP2R;0.316292647057486;0.442859298187109
203328_x_at;IDE;1.73025974990414e-09;2.88038713625852e-08
213293_s_at;TRIM22;0.0166509670269578;0.0401331000136931
207455_at;P2RY1;1.16928876660862e-07;1.09419522156744e-06
203013_at;ECD;0.477999662338985;0.603265877100948
205119_s_at;FPR1;0.654728652892151;0.753652298909646
209992_at;PFKFB2;0.365794192807763;0.494181867136661
206867_at;GCKR;0.306287558163971;0.432581004537502
213254_at;TNRC6B;0.640858004116871;0.742677675887016
212784_at;CIC;0.00522832001810938;0.0147316783561874
212905_at;CSTF2T;0.803888398103368;0.868150578492594
204500_s_at;AGTPBP1;0.0423056137066546;0.0877995986986381
206816_s_at;SPAG8;0.081643856721665;0.151261336208396
213262_at;SACS;3.66276601829018e-10;7.97768305934909e-09
221781_s_at;DNAJC10;0.680334140707157;0.775073434994995
213057_at;ATPAF2;0.470102053785875;0.595522938132639
207052_at;HAVCR1;0.0024709571489308;0.00767310140981938
214247_s_at;DKK3;6.30518141661503e-06;3.71827255049628e-05
205656_at;PCDH17;0.0285369416509509;0.063189664279169
202478_at;TRIB2;6.22237246577966e-11;1.85366916040902e-09
208552_at;GRIK4;0.392932103124414;0.522210816760011
207242_s_at;GRIK1;0.00807505551047254;0.0214822485662971
213245_at;ADCY1;0.608995460267618;0.716207020048268
218309_at;CAMK2N1;3.50241135463228e-06;2.21370812717961e-05
214596_at;CHRM3;0.0265363618563412;0.0594974167733103
200922_at;KDELR1;0.00049789906173481;0.00186257751939216
218413_s_at;ZNF639;0.159802530329977;0.25878590229806
219591_at;CEND1;6.07860285251041e-05;0.000282823568522833
217742_s_at;WAC;3.53540085414891e-07;2.91553967536739e-06
215916_at;CHRNE;0.251107776550733;0.370730919040773
203523_at;LSP1;0.334295661741405;0.462353637509563
207944_at;OCM2;0.785696000880951;0.854599913260279
205663_at;PCBP3;0.789663549605962;0.857646920091541
203502_at;BPGM;5.11588945675444e-10;1.04337438806434e-08
200738_s_at;PGK1;3.15138279861019e-08;3.52087468706208e-07
218108_at;UBR7;1.54811313872781e-06;1.08550254965648e-05
206380_s_at;CFP;0.319822428072263;0.44675083751502
219354_at;KLHL26;0.817092969198713;0.876464745942308
210964_s_at;GYG2;1.78484817711937e-05;9.37964351002369e-05
206883_x_at;GP9;0.650813377889305;0.75045829647409
216341_s_at;GNRHR;0.898932992949694;0.932652305216355
207987_s_at;GNRH1;0.0344724749331544;0.0741143390566289
209560_s_at;DLK1;0.0256888266490192;0.0578565503091403
210228_at;CSF2;0.303392737559869;0.429657454120241
206148_at;IL3RA;0.914744807264889;0.943731604260244
211516_at;IL5RA;0.745374598190677;0.822986242743075
221365_at;MLNR;0.793176610473249;0.859670046305727
218230_at;ARFIP1;0.0708256516738359;0.134862845085709
214524_at;GHRH;0.283647743480079;0.407745669654817
207135_at;HTR2A;0.000391693800326167;0.00150444113415599
214491_at;SSTR3;0.403115436855862;0.532601777012951
206696_at;GPR143;1.38146703464053e-09;2.39543701346407e-08
214605_x_at;GPR1;0.0460389060176928;0.0940333937319385
221169_s_at;HRH4;0.338769812839789;0.466878878256029
207049_at;SCN8A;0.727954818266291;0.811854695625796
203989_x_at;F2R;0.777223664393441;0.848188744085789
210128_s_at;LTB4R;1.00933666823086e-09;1.84484313248863e-08
206586_at;CNR2;0.0174813504079904;0.0417561793658188
215894_at;PTGDR;0.416904586918595;0.546689862141417
213292_s_at;SNX13;0.111850186038685;0.194810675098306
201820_at;KRT5;1.95796476609962e-14;2.33128338150261e-12
201526_at;ARF5;0.745639083044108;0.823205564837286
220816_at;LPAR3;0.0020222210050754;0.0064330297723798
201921_at;GNG10;0.847545927700803;0.898298601617227
215049_x_at;CD163;0.784951309578373;0.854052452708955
221367_at;MOS;0.487720602708011;0.61188991219825
209406_at;BAG2;0.869189362966721;0.912699934134886
218827_s_at;CEP192;0.281871492620231;0.406032653616561
203647_s_at;FDX1;0.257081447711469;0.377544022000327
213738_s_at;ATP5A1;0.00389116295034861;0.0113741686240959
218141_at;UBE2O;0.00073739527308308;0.00262871847849577
207813_s_at;FDXR;0.254443915427355;0.374462369708392
208905_at;CYCS;1.14999999949029e-05;6.36445329509855e-05
205936_s_at;HK3;0.342030048016366;0.470361859014477
220358_at;BATF3;0.0056555966888452;0.0157545164447288
202912_at;ADM;0.090506521440966;0.164727402977865
214616_at;HIST1H3E;0.169939721783183;0.271686240630864
207250_at;SIX6;0.95148628147414;0.968293161659723
206510_at;SIX2;0.85065536397049;0.900651537970788
201491_at;AHSA1;1.03613302126198e-07;9.89590147579622e-07
212980_at;AHSA2;9.42652552796327e-06;5.33083374269115e-05
209657_s_at;HSF2;0.902687389346648;0.935019550218249
205040_at;ORM1;0.504234141210835;0.627483864080929
207020_at;HSF2BP;0.253697403422001;0.373715675454443
220446_s_at;CHST4;0.65519186153781;0.754116060849356
207027_at;HGFAC;0.860860680633858;0.907173598652148
204934_s_at;HPN;0.481197692818405;0.60595624049312
200966_x_at;ALDOA;4.85457125363837e-10;9.94948357589949e-09
210007_s_at;GPD2;0.580773003669429;0.694026738754173
201508_at;IGFBP4;0.465969498192724;0.591666734349527
220565_at;CCR10;0.0567780905197843;0.112138971197211
211934_x_at;GANAB;0.00446926723816992;0.012844776784276
204703_at;IFT88;0.187180354309853;0.293986028841933
221767_x_at;HDLBP;7.06526244486e-08;7.12337992626127e-07
217478_s_at;HLA-DMA;0.997818578577073;0.998218825602523
203932_at;HLA-DMB;0.821351451890385;0.879230743345628
203657_s_at;CTSF;0.0307713385473624;0.0673146587085084
